	SRR19509095	SRR19509096	SRR19509097	SRR19509098	SRR19509099	SRR19509100	SRR19509101	SRR19509102	SRR19509103	SRR19509104	SRR19509105	SRR19509106	SRR19509107	SRR19509108	SRR19509109	SRR19509110	SRR19509111	SRR19509112	SRR19509113	SRR19509114	SRR19509115	SRR19509116	SRR19509117	SRR19509118	SRR19509119	SRR19509120	SRR19509121	SRR19509122	SRR19509123	SRR19509124	SRR19509125	SRR19509126	SRR19509127	SRR19509128	SRR19509129	SRR19509130	SRR19509131	SRR19509132	SRR19509133	SRR19509134	SRR19509135	SRR19509136	SRR19509137	SRR19509138	SRR19509139	SRR19509140	SRR19509141	SRR19509142	SRR19509143	SRR19509144	SRR19509145	SRR19509146	SRR19509147	SRR19509148	SRR19509149	SRR19509150	SRR19509151	SRR19509152	SRR19509153	SRR19509154
ASV_0076	0	58	0	0	15	21	8	14	25	10	26	5	16	10	0	79	73	48	51	62	46	30	57	16	41	117	51	44	21	19	86	10	0	1	0	0	93	0	0	0	0	6	10	0	10	0	0	108	36	0	12	38	0	851	561	2128	216	572	116	0
ASV_0077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	600	0	0	0	0	0	0	482	21	586	269	232	0	0	0	149	143	270	423	120	156	340	178	1496
ASV_0078	89	114	93	127	242	784	910	564	273	69	25	73	184	501	0	35	0	0	17	0	58	39	66	45	37	72	24	103	99	67	38	0	0	29	14	70	68	0	53	0	0	81	0	0	0	28	36	30	0	0	0	0	0	0	0	10	0	0	90	0
ASV_0079	0	0	70	0	517	212	61	86	76	147	358	172	421	570	0	0	23	0	0	0	62	0	0	51	79	0	75	0	0	0	48	41	0	0	35	39	0	0	178	0	0	0	0	30	1335	0	490	0	0	0	0	0	41	0	0	0	0	0	39	0
ASV_0080	0	0	0	0	92	42	158	73	71	228	123	173	158	59	0	150	276	164	348	641	289	160	155	100	271	0	130	79	99	80	79	0	0	0	16	0	0	38	0	36	47	0	0	0	0	0	0	0	0	155	129	493	0	0	44	0	25	24	0	0
ASV_0081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	147	950	339	317	119	0	149	235	177	28	0	0	0	0	0	18	0	13	38	0	46	0	0	0	0	0	0	0	0	0	0	0	25	70	121	50	0	428	39	86	1223	224	25	0
ASV_0082	30	0	53	23	1049	397	123	213	219	129	69	123	62	41	23	22	0	0	0	0	68	0	0	36	74	0	96	55	38	35	68	26	0	11	19	17	0	34	159	33	475	1154	0	0	0	29	42	0	0	0	25	56	0	0	0	0	0	0	0	0
ASV_0083	17	98	99	24	24	23	6	14	6	17	47	69	41	43	38	38	140	299	222	279	404	273	117	173	160	14	35	70	23	39	33	5	12	11	11	10	30	60	894	150	55	339	0	14	109	28	70	18	0	22	16	21	74	10	41	39	0	34	20	7
ASV_0084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3258	0	0	0	0	0	1597	0	0	0	0	0	0	0	0	0	0	0
ASV_0085	13	8	5	11	103	30	556	49	120	39	1706	31	51	50	0	13	114	0	0	0	36	38	101	25	55	95	0	0	58	0	9	8	62	0	0	0	175	0	20	22	0	33	0	62	0	84	105	49	20	0	17	36	69	117	88	103	187	170	41	45
ASV_0086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	805	0	0	0	0	0	0	418	0	564	375	173	0	0	0	0	122	186	315	379	770	418	63	45
